epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
91,2263.26,1.137,2.54236,1.69361,1.54818,0,0.58741,0.46328,0.46639,0.22915,0.56319,0.42373,0.42368,0.19514,1.57094,3.39632,2.1682,1.73614,0,0.000218,0.000218,0.000218
92,2284.1,1.00581,2.41559,1.44807,1.45206,0,0.58166,0.41808,0.4661,0.23748,0.59732,0.39548,0.42853,0.20269,1.56864,3.42643,2.11944,1.70849,0,0.0001982,0.0001982,0.0001982
93,2304.79,0.98489,2.37822,1.46091,1.43138,0,0.47666,0.49153,0.4619,0.22364,0.46583,0.45821,0.4303,0.19402,1.60279,3.53463,2.15797,1.76562,0,0.0001784,0.0001784,0.0001784
94,2325.55,1.01752,2.3748,1.43664,1.45012,0,0.50485,0.50282,0.49509,0.25431,0.46026,0.48588,0.43822,0.20833,1.61229,3.58549,2.06492,1.7473,0,0.0001586,0.0001586,0.0001586
95,2346.39,0.98899,2.37135,1.42292,1.45158,0,0.5622,0.48588,0.48776,0.23016,0.56433,0.41714,0.43028,0.19433,1.67195,3.54529,2.10695,1.80201,0,0.0001388,0.0001388,0.0001388
96,2367.08,1.01955,2.37384,1.41498,1.45532,0,0.51041,0.54237,0.48482,0.23325,0.47988,0.51412,0.44328,0.19855,1.6711,3.47747,2.08678,1.81118,0,0.000119,0.000119,0.000119
97,2387.76,0.9792,2.36239,1.38182,1.45497,0,0.49176,0.49153,0.47293,0.24023,0.45406,0.45763,0.42679,0.19547,1.70033,3.54859,2.08515,1.83885,0,9.92e-05,9.92e-05,9.92e-05
98,2408.67,0.96576,2.3488,1.38179,1.42168,0,0.53347,0.49153,0.48067,0.23819,0.4862,0.48023,0.4423,0.19868,1.62969,3.47207,2.10642,1.77227,0,7.94e-05,7.94e-05,7.94e-05
99,2429.41,0.97939,2.30608,1.38922,1.44473,0,0.55288,0.49601,0.49916,0.24317,0.50926,0.49718,0.45394,0.20219,1.65694,3.50059,2.05192,1.793,0,5.96e-05,5.96e-05,5.96e-05
100,2450.11,0.96794,2.26385,1.36815,1.41735,0,0.56027,0.51109,0.49155,0.23577,0.49283,0.48023,0.44508,0.1988,1.64976,3.55014,2.07824,1.79054,0,3.98e-05,3.98e-05,3.98e-05
